Designator,Mid X,Mid Y,Rotation,Layer
ANT1,140.8,-81.86,180.0,top
C1,144.3866,-76.3524,180.0,top
C10,139.5984,-67.725,180.0,top
C11,139.5984,-69.3166,180.0,top
C12,161.417,-78.98,90.0,top
C13,146.6076,-81.8642,0.0,top
C2,147.3962,-76.3524,0.0,top
C3,146.685,-68.6562,270.0,top
C4,158.0642,-78.9816,90.0,top
C5,157.340001,-81.8642,0.0,top
C6,151.384,-82.6262,180.0,top
C7,145.1102,-68.6562,90.0,top
C8,145.909998,-77.825599,180.0,top
C9,145.909998,-79.349599,180.0,top
D1,139.7125,-74.877,0.0,top
D2,139.6999,-73.406,0.0,top
IC1,152.7556,-71.3232,180.0,top
IC2,152.5566,-64.6684,180.0,top
IC3,139.3294,-71.2724,180.0,top
J2,170.0,-60.0,270.0,top
J3,141.2,-60.0,0.0,top
J4,156.2354,-62.992,0.0,top
L1,154.3558,-82.6262,180.0,top
L2,143.51,-68.6562,270.0,top
L3,143.8426,-81.8642,0.0,top
L4,145.2276,-81.2776,270.0,top
R1,142.7,-74.877,0.0,top
R3,142.0368,-68.6562,270.0,top
R4,148.1582,-78.5876,90.0,top
R5,148.6408,-64.8084,270.0,top
R6,142.6875,-73.406,0.0,top
R7,159.7406,-78.9808,90.0,top
U3,152.7302,-78.7146,90.0,top
Y1,145.8976,-74.295,180.0,top
